,height,geometry
104,32.73,"POLYGON ((369654.8501000004 3284862.1208, 369645.4899000004 3284858.0154, 369642.2548000002 3284864.0845, 369652.2366000004 3284868.6614, 369654.8501000004 3284862.1208))"
105,30.0,"POLYGON ((369567.7334000003 3284915.993100001, 369568.1926999995 3284919.189300001, 369579.8256000001 3284917.0732, 369579.3165999996 3284913.9583, 369567.7334000003 3284915.993100001))"
106,30.0,"POLYGON ((369568.1926999995 3284919.189300001, 369568.7717000004 3284923.218800001, 369580.5175999999 3284921.3083, 369579.8256000001 3284917.0732, 369568.1926999995 3284919.189300001))"
107,22.95,"POLYGON ((369610.2260999996 3284854.627599999, 369600.9914999995 3284849.109200001, 369599.2434 3284852.053300001, 369608.5365000004 3284857.518999999, 369610.2260999996 3284854.627599999))"
108,30.23,"POLYGON ((369608.5365000004 3284857.518999999, 369599.2434 3284852.053300001, 369595.6029000003 3284858.1845, 369604.9157999996 3284863.7152, 369608.5365000004 3284857.518999999))"
109,30.11,"POLYGON ((369607.9954000004 3284858.445, 369604.9157999996 3284863.7152, 369611.0999999996 3284867.3879, 369614.0911999997 3284862.1173, 369607.9954000004 3284858.445))"
110,30.11,"POLYGON ((369607.9954000004 3284858.445, 369614.0911999997 3284862.1173, 369616.7939999998 3284857.355, 369610.7463999996 3284853.737400001, 369607.9954000004 3284858.445))"
111,31.28,"POLYGON ((369582.4519999996 3284892.8324, 369581.8262 3284887.6176, 369572.2063999996 3284889.0239, 369572.8240999999 3284894.0514, 369582.4519999996 3284892.8324))"
112,28.15,"POLYGON ((369611.3074000003 3284945.6647, 369602.7532000002 3284946.914899999, 369603.1530999998 3284949.651000001, 369611.71 3284948.479800001, 369611.3074000003 3284945.6647))"
113,23.45,"POLYGON ((369594.1075999998 3284938.261399999, 369587.1178000001 3284939.2656, 369589.3629999999 3284955.533199999, 369596.4483000003 3284954.665100001, 369594.1075999998 3284938.261399999))"
114,30.52,"POLYGON ((369608.7215 3284965.610200001, 369608.2286 3284960.533, 369600.6438999996 3284961.4772, 369601.3115999997 3284966.3561, 369608.7215 3284965.610200001))"
