,height,geometry,木,涂料,红砖,金属,面砖,玻璃,青砖
62,26.8825,"POLYGON ((370274.4196702717 3285110.205676541, 370271.2096045278 3285114.21666692, 370271.0384059595 3285114.430580232, 370276.0036128042 3285118.481675571, 370279.3848358057 3285114.169558764, 370274.4196702717 3285110.205676541))",0,0,0,0,1,0,0
63,26.95809,"POLYGON ((370282.0223285547 3285100.32792861, 370287.1596301086 3285095.039403303, 370283.9287042143 3285091.53546058, 370278.2185867103 3285097.612504488, 370281.6902844058 3285100.66974695, 370282.0223285547 3285100.32792861))",0,0,0,0,1,0,0
64,28.70472,"POLYGON ((370275.8544036755 3285106.677415099, 370278.3393422775 3285104.119328806, 370274.8835278014 3285101.161870927, 370272.3710042639 3285103.835846694, 370275.8544036755 3285106.677415099))",0,1,0,0,0,0,0
65,35.12966,"POLYGON ((370278.2185867103 3285097.612504488, 370274.8835278014 3285101.161870927, 370278.3393422775 3285104.119328806, 370281.6902844058 3285100.66974695, 370278.2185867103 3285097.612504488))",0,1,0,0,0,0,0
66,33.97893,"POLYGON ((370133.0686813639 3285091.717557142, 370131.2551195417 3285091.514259348, 370130.7892353237 3285096.001689309, 370130.9612623984 3285096.021023763, 370144.5346848862 3285097.546566809, 370144.9964443482 3285093.054643003, 370133.0686813639 3285091.717557142))",0,0,0,0,1,0,0
67,23.65273,"POLYGON ((370128.9478195691 3285114.260838402, 370128.4734923597 3285118.745981144, 370142.207889149 3285120.181271749, 370142.6430336675 3285115.948253945, 370128.9478195691 3285114.260838402))",0,0,0,0,1,0,0
68,33.84567,"POLYGON ((370130.7892353237 3285096.001689309, 370131.2551195417 3285091.514259348, 370130.239760058 3285091.400438944, 370129.7686380763 3285095.886982424, 370130.7892353237 3285096.001689309))",0,0,0,0,1,0,0
69,35.62319,"POLYGON ((370128.0579353906 3285133.151971506, 370126.9944294794 3285142.396404473, 370136.1544126868 3285143.380243944, 370137.0618142094 3285135.130439246, 370132.7057355512 3285134.630451683, 370132.8040409619 3285133.598690243, 370128.0579353906 3285133.151971506))",0,0,0,0,1,0,0
70,35.49315,"POLYGON ((370096.5034180526 3285139.086855974, 370105.8010255322 3285140.003325224, 370107.0895362571 3285127.86390893, 370102.1834445084 3285127.333794305, 370101.9499056283 3285130.208546998, 370097.4946779115 3285129.715455363, 370096.5034180526 3285139.086855974))",0,0,0,0,1,0,0
71,37.03552,"POLYGON ((370128.4013692914 3285130.166702079, 370128.0579353906 3285133.151971506, 370132.8040409619 3285133.598690243, 370132.7057355512 3285134.630451683, 370137.0618142094 3285135.130439246, 370137.4996482246 3285131.149792286, 370128.4013692914 3285130.166702079))",0,0,0,0,1,0,0
72,23.65273,"POLYGON ((370128.9478195691 3285114.260838402, 370127.8534000507 3285114.125992719, 370127.3802620554 3285118.631734904, 370128.4734923597 3285118.745981144, 370128.9478195691 3285114.260838402))",0,0,0,0,1,0,0
73,32.22695,"POLYGON ((370251.6580452761 3285129.994708747, 370245.1502964515 3285129.304393219, 370244.3761000028 3285129.222269606, 370243.6402575048 3285134.480803149, 370250.9675813131 3285135.474588821, 370251.6580452761 3285129.994708747))",0,1,0,0,0,0,0
74,25.30687,"POLYGON ((370059.5304933395 3284986.112661911, 370060.2613652553 3284993.426839298, 370059.3960859254 3284993.534911416, 370060.9001890346 3285003.671403084, 370067.3072049459 3285002.050838348, 370064.644219988 3284985.389220361, 370064.6204796676 3284985.240683226, 370059.5304933395 3284986.112661911))",0,1,0,0,0,0,0
75,30.68317,"POLYGON ((370374.8561246321 3284801.805164689, 370370.3182819281 3284801.624634912, 370370.3004464023 3284804.949379187, 370374.7620801227 3284805.145596081, 370374.8561246321 3284801.805164689))",0,0,0,0,1,0,0
76,30.98919,"POLYGON ((370195.4713547826 3285117.467332363, 370194.1448258804 3285130.474537183, 370189.5989534548 3285130.010903327, 370189.7205394264 3285128.722354434, 370153.9885658221 3285125.034798445, 370153.7409000108 3285127.285870466, 370195.3927572547 3285131.627493083, 370196.9017974101 3285117.596306464, 370195.4713547826 3285117.467332363))",0,1,0,0,0,0,0
77,24.98879,"POLYGON ((370368.1836846834 3284758.403120672, 370372.3285554061 3284758.580173954, 370372.4430019772 3284756.239607774, 370368.2929226514 3284756.095267328, 370368.1836846834 3284758.403120672))",0,0,0,0,1,0,0
78,20.82257,"POLYGON ((370079.8963732496 3284906.927282637, 370078.3267784491 3284907.485625552, 370078.9736430831 3284909.029636934, 370080.4565810561 3284908.502119949, 370079.8963732496 3284906.927282637))",0,1,0,0,0,0,0
79,25.70073,"POLYGON ((369831.2845688136 3284963.118678458, 369832.0073174853 3284959.425964171, 369826.567050023 3284958.35724178, 369825.8408731865 3284962.024528332, 369831.2845688136 3284963.118678458))",0,1,0,0,0,0,0
80,30.93434,"POLYGON ((370292.772719386 3285131.732685139, 370294.8497598153 3285128.09383061, 370294.4871915709 3285127.841070818, 370287.2145632142 3285123.847870622, 370284.6684948746 3285127.205798848, 370292.772719386 3285131.732685139))",0,1,0,0,0,0,0
81,34.22696,"POLYGON ((370400.4859057777 3284750.170000495, 370400.4240875151 3284751.245076871, 370404.376893417 3284751.461821347, 370404.4532594206 3284750.319231754, 370400.4859057777 3284750.170000495))",0,0,1,0,0,0,0
82,33.99712,"POLYGON ((370408.4702942846 3284750.470331762, 370404.4532594206 3284750.319231754, 370404.376893417 3284751.461821351, 370408.4034144329 3284751.682607858, 370408.4702942846 3284750.470331762))",0,0,1,0,0,0,0
83,25.54611,"POLYGON ((369896.267438286 3284881.719642246, 369895.2568532489 3284887.09843622, 369900.082773813 3284887.759759398, 369900.7539469972 3284882.246190144, 369896.267438286 3284881.719642246))",0,1,0,0,0,0,0
84,29.26988,"POLYGON ((369862.3768912181 3284879.824609403, 369864.2916112598 3284880.445745226, 369862.8659320557 3284884.840559451, 369872.5455282126 3284888.002718095, 369875.8370278962 3284877.926478814, 369874.6134815942 3284877.527083673, 369874.4301191913 3284878.08881407, 369870.5101172468 3284876.809230521, 369870.1263279961 3284878.053199271, 369865.8430542937 3284876.560265118, 369867.4828020632 3284871.341262706, 369863.455681677 3284870.600002127, 369862.6173154153 3284875.154678298, 369863.4577480219 3284875.358053641, 369862.3768912181 3284879.824609403))",0,1,0,0,0,0,0
85,31.68248,"POLYGON ((369894.6352413399 3284890.40693799, 369899.6794977179 3284891.07260132, 369900.082773813 3284887.759759398, 369895.2568532489 3284887.09843622, 369894.6352413399 3284890.40693799))",0,1,0,0,0,0,0
86,22.46182,"POLYGON ((369902.8559339698 3284940.668251852, 369896.3982721297 3284939.796700366, 369894.1286765151 3284956.613011537, 369901.6040327307 3284957.17979138, 369902.8559339698 3284940.668251852))",0,1,0,0,0,0,0
87,26.8992,"POLYGON ((369913.4677112857 3284959.60996615, 369908.8125381982 3284959.150136808, 369908.0586928204 3284967.323126774, 369908.1164030032 3284967.329280842, 369914.8617980229 3284968.048592744, 369913.4677112857 3284959.60996615))",0,0,0,0,1,0,0
88,20.86216,"POLYGON ((369889.9235353842 3284983.822270138, 369894.6454541879 3284984.499021133, 369896.098601222 3284973.395162066, 369891.3993031261 3284972.75861682, 369889.9235353842 3284983.822270138))",0,0,0,0,1,0,0
89,25.25854,"POLYGON ((369799.716186286 3284962.639721224, 369801.4202638948 3284957.91699503, 369796.7593180919 3284956.077216018, 369794.9387738807 3284960.915911462, 369799.716186286 3284962.639721224))",0,1,0,0,0,0,0
90,30.24964,"POLYGON ((369801.4202638948 3284957.91699503, 369803.5961516174 3284951.886681681, 369798.9882905139 3284950.152988177, 369796.7593180919 3284956.077216018, 369801.4202638948 3284957.91699503))",0,1,0,0,0,0,0
91,30.25314,"POLYGON ((369780.2142136265 3284949.889385244, 369782.7243357729 3284944.005626103, 369775.8782679513 3284941.084965, 369775.1671857741 3284942.88519155, 369774.5436755856 3284942.638907557, 369772.8859294103 3284946.811059291, 369780.2142136265 3284949.889385244))",0,1,0,0,0,0,0
92,31.38,"POLYGON ((369782.7243357729 3284944.005626103, 369783.637070653 3284941.86616361, 369776.7234938182 3284938.945130678, 369775.8782679513 3284941.084965, 369782.7243357729 3284944.005626103))",0,1,0,0,0,0,0
93,31.52177,"POLYGON ((369783.8958114665 3284951.435880691, 369795.2856252706 3284956.220296586, 369797.5952268364 3284950.349827504, 369786.3972195974 3284945.572547317, 369783.8958114665 3284951.435880691))",0,1,0,0,0,0,0
94,30.86236,"POLYGON ((369786.3972195974 3284945.572547317, 369797.5952268364 3284950.349827504, 369798.4676997513 3284948.132204626, 369787.3154136753 3284943.420288393, 369786.3972195974 3284945.572547317))",0,1,0,0,0,0,0
95,27.27064,"POLYGON ((369807.3675190881 3284926.755667184, 369809.5900573786 3284921.646015311, 369797.0543829333 3284916.410885902, 369794.8758775573 3284921.529135188, 369807.3675190881 3284926.755667184))",0,1,0,0,0,0,0
96,27.27063,"POLYGON ((369803.1890581809 3284936.362017132, 369806.1180641083 3284929.628184609, 369802.1011315789 3284927.956082208, 369800.7779755723 3284930.960195825, 369792.3826320525 3284927.386844864, 369790.7556528784 3284931.209321087, 369803.1890581809 3284936.362017132))",0,1,0,0,0,0,0
97,31.48754,"POLYGON ((369749.8640964655 3284902.460119223, 369759.9255839782 3284905.096806291, 369760.8419847246 3284901.683443369, 369751.1182881985 3284897.774969259, 369749.8640964655 3284902.460119223))",0,0,0,0,1,0,0
